claim_id	area	claim	inferential_unit	population_n	exact_dataset	grade	rev1_grade	preregistered	independent_evidence	circularity_risk	phylogeny_or_redundancy_alternative	falsifier	would_skeptical_reviewer_accept	source_path	source_commit
P-01	canonical population	The mined corpus is identity-pinned and reconstructable with auditable provenance.	raw record	3,358,182 lines / 43 files; manifest 8e9b7999...41d00	results/dbchar_g1_corpus_identity	ESTABLISHED	ESTABLISHED	yes	independent second count per gate	LOW	n/a	a regenerated manifest with a different digest	YES	results/dbchar_g1_corpus_identity	94a1a78
P-02	canonical population	Record, locus, exact RT, taxonomic occurrence and pair are non-equivalent units; none convert by a constant.	five declared units	3,059,700 -> 2,847,312 -> 501,561	results/dbchar_g2_canonical_units	ESTABLISHED	ESTABLISHED	yes	loci per exact RT 1.11-5.49 by database	LOW	redundancy is the measured object	a constant ratio across databases	YES	results/dbchar_g2_canonical_units	94a1a78
P-03	canonical population	RT protein and coordinates agree by back-translation for 99.47% of POP-RT-FAM; 618 mismatches retained.	raw record	3,034,472 of 3,050,688	results/dbchar_g2_canonical_units/tables/g2_bt_status.tsv	ESTABLISHED	ESTABLISHED	yes	independent Biopython re-implementation 1,999/2,000; frame-shift control 0	LOW	n/a	a systematic frame or strand error	YES	results/dbchar_g2_canonical_units	94a1a78
P-04	RT0-RT7 mapper	Under hhmake -M 50 the frozen mapper met 7 predeclared conditions on one fresh lineage (UG25).	exact RT protein	28 UG25 sequences; applied to 369,381	results/rt07_ug25_confirmatory + rt07_g4b_production_mapper	SUPPORTED_WITH_LIMITATIONS	SUPPORTED_WITH_LIMITATIONS	yes	genealogy audit: 0 exact overlaps with construction	LOW	GII-centred construction; transfer measured	failure on a second fresh lineage	YES with scope sentence	results/rt07_g4b_production_mapper	94a1a78
P-05	RT0-RT7 mapper	Eligible catalogue 369,381 of 501,561; 354,102 inspectable; eligibility non-uniform.	exact RT protein	369,381 (0.7365); 354,102 (0.9586)	results/rt07_g5a_eligibility_census + rt07_g5_catalogue_application	ESTABLISHED	ESTABLISHED	yes	0 tool failures; 55,407,150 state rows	LOW	reported per stratum	a different census	YES	results/rt07_g5_catalogue_application	94a1a78
P-06	RT0-RT7 mapper	Among CAT_STATE-mapped sequences 0.9653 carry [YF].DD at the catalytic state.	exact RT protein	343,880 of 356,229	results/rt07_g5_catalogue_application/tables/g5_qc_headline.tsv	ESTABLISHED	ESTABLISHED	yes	0.9857 construction agreement	LOW	n/a	a large YxDD-free MAPPED population	YES	results/rt07_g5_catalogue_application	94a1a78
P-07	RT0-RT7 history	RT0/RT1 have no supported crosswalk; anchors reach LtrA 97-363 only.	historical label x residue	8 labels; 150 anchors; 0/62 structures carry RT0/RT1 states	results/rt07_g7a_rt0_rt7_bridge + stage3c Comparison B	ESTABLISHED (negative)	ESTABLISHED (negative)	yes	independent review upheld all 8; Stage 3C reproduces 0/62 in code	LOW	instrumental limit, not biological absence	primary historical evidence stating a boundary	YES	docs/errata/g7a_closure_decision_erratum_2026-09-19.tsv	94a1a78 + 34000ee
P-08	RT0-RT7 history	RT3/RT4/RT5+RT6/RT7 correspond to frozen state intervals on LtrA; RT4 frame-dependent (Jaccard 0.410).	historical label x residue	4 ESTABLISHED / 2 PARTIAL / 2 UNRESOLVED	results/rt07_g7a_rt0_rt7_bridge	SUPPORTED_WITH_LIMITATIONS	SUPPORTED_WITH_LIMITATIONS	yes	Route C is corroboration, not independent replication	MEDIUM	LtrA-only	a second reference protein giving different boundaries	YES as LtrA-local	docs/errata/g7a_closure_decision_erratum_2026-09-19.tsv	94a1a78
P-09	g6 concordance	The mapper-derived descriptor shows split-half concordance across MyRT-defined strata (rho 0.9865).	family stratum	36 strata; 369,370 of 369,381 MyRT-derived	results/rt07_g6_family_architecture	SUPPORTED_WITH_LIMITATIONS	SUPPORTED_WITH_LIMITATIONS	yes	exceeds cluster-null p99 0.9066, not sequence-null p99 0.9906	HIGH	grouping is annotation-derived	a null that brackets it	NO as biology; YES as concordance	docs/decisions/2026-09-19_stage2_g6_review_errata.md	94a1a78
P-11	Stage 3A structure	RT chains decompose into three reproducible compact fingers/palm/thumb units under PDP + textbook rules.	RT chain	46 primary / 22 groups	analysis/stage3a_structural_core/g2r/results/rt_units.report.txt	FAILED	FAILED	yes (prereg + 2 amendments + Codex cleared)	22/22 LOGO folds FAIL; group-level 0.545	LOW for the negative	all 31 groups in one structural cluster	call rate >=0.70 under a different parser	YES as instrument-specific negative	analysis/stage3a_structural_core	67c137b
P-13	Stage 3B geometry	A motif-blind geometric rule identifies the RT catalytic site (the launcher question).	RT chain	19 Tier-A truth-bearing; Tier B (17) never opened	results/cat3b_g2_contract_and_thresholds	NOT_YET_TESTED	NOT_YET_TESTED	freeze order rests on documents, not git	K5 FIRED: pool 23 vs >=60	HIGH (windows fitted on the same truth pairs)	19 chains from 14 groups; RG02 contributes 4	a held-out Tier-B evaluation with a declared bar	NO	results/cat3b_g2_contract_and_thresholds	67c137b
P-14	Stage 3B geometry	In-sample Tier-A residue-exact recovery is 13/19 = 0.684.	RT chain	19 chains	analysis/stage3b_design/G2_TIERA_EVALUATION.tsv	PRELIMINARY	PRELIMINARY	in-sample by construction	LOCO out-of-sample 12 HIT / 5 MISS / 2 ABSTAIN	HIGH	yes	an out-of-sample evaluation on unfitted windows	NO as a performance number	analysis/stage3b_design	67c137b
P-33	Stage 3C catalytic localisation	Catalytic aspartates lie inside a single structural unit, and the frozen detector's prediction lies in the same unit as truth.	RT chain	19/19 chains, 14 biological groups - NONE is a retron	analysis/stage3c_architecture_integration/tables/A_summary.tsv	SUPPORTED_WITH_LIMITATIONS	NOT_IN_REV1	census; no inferential test declared	site-containing unit replicate-stable J>=0.70 in 13/14 pairs (median 0.897) vs 0.309 median chance share	MEDIUM - both instruments describe the same fold core	not addressed by held-out split; 31 groups one cluster	a truth set split across units, or misses landing in different units	YES on non-retron chains	analysis/stage3c_architecture_integration	34000ee
P-34	Stage 3C cross-instrument	CAT_STATE 262 lands exactly 2 residues before the nearest Stage-3B catalytic aspartate.	RT chain	17/17 chains where both instruments commit; same unit 17/19	analysis/stage3c_architecture_integration/tables/B_cat262_vs_3B_truth.tsv	SUPPORTED_WITH_LIMITATIONS	NOT_IN_REV1	post-hoc integration, declared as census	the two instruments share no input (sequence HMM state vs metal/substrate/author truth)	LOW	17 chains across families	a variable offset across families	YES	analysis/stage3c_architecture_integration	34000ee
P-35	Stage 3C states vs structure	RT0-RT7 state blocks merge into one structural unit rather than separating into distinct domains.	state block x chain	SB3+SB56 same unit 28/28; SB56+SB7 35/36; SB7 contained 37/37; SB56 53/54	analysis/stage3c_architecture_integration/STRUCTURE_STAGE2_CROSSWALK.tsv	SUPPORTED_WITH_LIMITATIONS	NOT_IN_REV1	census	splitting concentrates where Stage 2 said evidence was weakest (SB2p 12/24, SB4 11/37)	LOW	availability family-dependent (retron median mapped 0.427 vs non-LTR 0.813)	blocks landing in distinct units in most chains	YES; RT0-RT7 stays a sequence-level vocabulary	analysis/stage3c_architecture_integration	34000ee
P-36	Stage 3C literature	The literature pins down separable fingers/palm/thumb regions.	region x chain	LITERATURE fingers 0/11 coincide (median best J 0.429); palm 2/7; thumb 3/9; combined fingers+palm 1/1 (J 0.713); 17 usable statements over 7 chains	analysis/stage3c_architecture_integration/tables/C_summary.tsv	FAILED	NOT_IN_REV1	provenance audit declared before overlap scoring	two 2026 papers on the same Eco8 protein give incompatible partitions; HIV-1 reviews differ 1-5 residues	MEDIUM - inherited RED product is residual-constructed (25/25)	n/a	a larger retrievable literature set showing fingers and palm as separate units	YES - and it reframes the Stage 3A negative	analysis/stage3c_architecture_integration/LITERATURE_BOUNDARY_AUDIT.tsv	34000ee
P-37	Stage 3C Region Y	Region Y is a universal, retron-diagnostic motif-anchored region.	RT chain	defined in 15/21 retron chains; ALL 6 Retron-Eco8 chains lack a VTG-like triplet; VTG present in 4 non-retron chains	analysis/stage3c_architecture_integration/XY_REGION_ANNOTATIONS.tsv	FAILED as universal/exclusive	NOT_IN_REV1	operational rule committed before any chain was scanned (K9)	controls: literature motif positions 9/9, YxDD 19/19, SUBSTRATE_NA 44/44, shuffle null 4/3300	MEDIUM	62 chains, one fold, cryo-EM dominates	a larger population where VTG is universal in retrons and absent elsewhere	YES that it is NOT universal	analysis/stage3c_architecture_integration	34000ee
P-38	Stage 3C Region Y	Region Y is enriched for RNA-contacting residues in retron chains and could plausibly contribute to pairing specificity.	RT chain	1.34x length-proportional share (median; range 0.59-1.86; n=15) vs 1.06 in 4 non-retron chains	analysis/stage3c_architecture_integration/tables/D_region_y_rna_enrichment.tsv	PRELIMINARY	NOT_IN_REV1	measured after the rule was frozen; no inferential test declared	classical reciprocal fragment-binding experiment (Inouye 2004) covers exactly TWO retrons	MEDIUM - contacts counted against whatever nucleic acid each entry contains	n=15, modest and variable	a larger structure set with no enrichment, or cognate-msr-specific analysis showing none	NO as specificity; YES as a plausible hypothesis	analysis/stage3c_architecture_integration	34000ee
P-39	Stage 3C termini	Terminal extensions and insertions are measurable on these chains.	RT chain	extensions interpretable in only 20/62; 39 truncated; gap rule finds no insertion >=20aa while instrument insertion runs reach 774 residues	analysis/stage3c_architecture_integration/TERMINI_FUSION_SUMMARY.tsv	UNDERPOWERED	NOT_YET_TESTED	two measures declared and reported together	the two measures disagree by construction and both are reported	LOW	n/a	a family-aware core boundary changing the truncation count	YES that it is not yet measurable at scale	analysis/stage3c_architecture_integration	34000ee
P-15	Mestre history	Mestre 2020's published tree and table are reproducible as a reference object.	tree tip / table row	1,928 tips; 18/18 tables byte-identical	RESEARCH-retron-db/results/stage1_mestre_replication_and_insights	SUPPORTED_WITH_LIMITATIONS	SUPPORTED_WITH_LIMITATIONS	no	inputs manifest not reproducible; s00 vacuous; env.lock is conda base	MEDIUM	n/a	a failed re-run of the join	YES for the published object	analysis/mestre_audit/REPORT.md	b05934f
P-16	Mestre history	Mestre's classification can be independently RE-INFERRED from sequence.	RT sequence / clade	<=3 of 11 clades; 91 of 112 substitutes; 3 RNA polymerase subunits	analysis/mestre_audit/REPORT.md	FAILED	FAILED	prereg existed and was not followed	the same rule on the PUBLISHED tree gives 10/11	HIGH	alignment and extracts unrecoverable	recovery of Mestre's MSA or coordinates	NO	analysis/mestre_audit/REPORT.md	b05934f
