input_id	path	role	trust_grade	frozen_ref	sha256_observed	sha256_expected	expected_source	verdict	bytes
3A_pdp_primary_residues	analysis/stage3a_structural_core/g2r/results/rt_pdp_primary.residues.tsv	per-residue PDP unit (primary)	FROZEN	stage3a 67c137ba	79fc0f4209dc302a2bf431b2f31511808ab7f141d265e18bec26138cc022d97a	79fc0f4209dc302a2bf431b2f31511808ab7f141d265e18bec26138cc022d97a	git blob 67c137ba	MATCH	795893
3A_pdp_primary_summary	analysis/stage3a_structural_core/g2r/results/rt_pdp_primary.summary.tsv	PDP summary (primary)	FROZEN	stage3a 67c137ba	d9ecb860400fb060c71c68e9c681b69357bbfbdfacb0860dd9f8d8462c3e8a57	d9ecb860400fb060c71c68e9c681b69357bbfbdfacb0860dd9f8d8462c3e8a57	git blob 67c137ba	MATCH	3886
3A_pdp_p4_residues	analysis/stage3a_structural_core/g2r/results/rt_pdp_p4.residues.tsv	per-residue PDP unit (BJ-p4 sensitivity arm)	FROZEN	stage3a 67c137ba	915f2825c1526f7c50bc06a3c7c9f39d6c892737846bd3c6e7d08fd763a56c0a	915f2825c1526f7c50bc06a3c7c9f39d6c892737846bd3c6e7d08fd763a56c0a	git blob 67c137ba	MATCH	795893
3A_pdp_p4_summary	analysis/stage3a_structural_core/g2r/results/rt_pdp_p4.summary.tsv	PDP summary (BJ-p4)	FROZEN	stage3a 67c137ba	996cf6a15c07cbd9c416990c7037c1106b057b40a92a6202879474a714c92a8f	996cf6a15c07cbd9c416990c7037c1106b057b40a92a6202879474a714c92a8f	git blob 67c137ba	MATCH	3886
3A_units_primary	analysis/stage3a_structural_core/g2r/results/rt_units.units.tsv	unit features and roles	FROZEN	stage3a 67c137ba	b4308169b799fe936315c4664521cb46e89aa2ea4b2192b9b8dd182db6da83d4	b4308169b799fe936315c4664521cb46e89aa2ea4b2192b9b8dd182db6da83d4	git blob 67c137ba	MATCH	13813
3A_calls_primary	analysis/stage3a_structural_core/g2r/results/rt_units.calls.tsv	palm/thumb/fingers-like call status	FROZEN	stage3a 67c137ba	e457a8d08cf1fe043df16b4f8f9a6b9e27a9e550895ac81d9c83522863e60dfe	e457a8d08cf1fe043df16b4f8f9a6b9e27a9e550895ac81d9c83522863e60dfe	git blob 67c137ba	MATCH	3345
3A_units_p4	analysis/stage3a_structural_core/g2r/results/rt_units_p4.units.tsv	unit features (BJ-p4)	FROZEN	stage3a 67c137ba	7eefe5372bf329341163f2acb611774878a84312c294d23d3c5103487c0cc140	7eefe5372bf329341163f2acb611774878a84312c294d23d3c5103487c0cc140	git blob 67c137ba	MATCH	14144
3A_calls_p4	analysis/stage3a_structural_core/g2r/results/rt_units_p4.calls.tsv	call status (BJ-p4)	FROZEN	stage3a 67c137ba	0058d27841883733ecb3e3506d0a2ac1d1df4d64f18eae5bf7377958c0f324ed	0058d27841883733ecb3e3506d0a2ac1d1df4d64f18eae5bf7377958c0f324ed	git blob 67c137ba	MATCH	3361
3A_units_report	analysis/stage3a_structural_core/g2r/results/rt_units.report.txt	verdict, LOGO, PDP_ABSENT	FROZEN	stage3a 67c137ba	3a46bb0e76d8c3d458203613edc1be1c34e7780348b52a225c7845959cc3d846	3a46bb0e76d8c3d458203613edc1be1c34e7780348b52a225c7845959cc3d846	git blob 67c137ba	MATCH	2875
3A_impl_sensitivity	analysis/stage3a_structural_core/g2r/results/rt_pdp_implementation_sensitivity.tsv	primary vs BJ-p4	FROZEN	stage3a 67c137ba	db5f3535ae4a63db1e00518c5e0deb6391f0969c8cdda809080af5c4fad20352	db5f3535ae4a63db1e00518c5e0deb6391f0969c8cdda809080af5c4fad20352	git blob 67c137ba	MATCH	1154
3A_partition_freeze	analysis/stage3a_structural_core/g2r/results/RT_PARTITION_FREEZE_sha256.txt	partition freeze hashes	FROZEN	stage3a 67c137ba	93bbfbf87ad786d1c5d964ea1b00e499c325aa490744e9b3c5cff8c86bf0de4e	93bbfbf87ad786d1c5d964ea1b00e499c325aa490744e9b3c5cff8c86bf0de4e	git blob 67c137ba	MATCH	544
3A_register	analysis/stage3a_structural_core/STRUCTURE_REGISTER.tsv	62-chain register	FROZEN	stage3a 67c137ba	d163c3983fde1fe8bafb2f730f7212e14625b286a3b3110ff86f70287b517cda	d163c3983fde1fe8bafb2f730f7212e14625b286a3b3110ff86f70287b517cda	git blob 67c137ba	MATCH	25545
3A_groups	analysis/stage3a_structural_core/BIOLOGICAL_GROUPS.tsv	biological groups	FROZEN	stage3a 67c137ba	8d1c9bbd8a69d979c18ae94ff0cb6065d9babb2a7d3f38cb33a412276823b087	8d1c9bbd8a69d979c18ae94ff0cb6065d9babb2a7d3f38cb33a412276823b087	git blob 67c137ba	MATCH	2511
3A_T1	analysis/stage3a_structural_core/closure/tables/T1_structure_register.tsv	closure table S3A-1 (strata)	FROZEN	stage3a 67c137ba	8b44e92dab742e2883c80bf994564addd03772dc8308a4af9910e06e8043e628	8b44e92dab742e2883c80bf994564addd03772dc8308a4af9910e06e8043e628	git blob 67c137ba	MATCH	4190
3A_closure	analysis/stage3a_structural_core/closure/STAGE3A_CLOSURE.md	closure package	FROZEN	stage3a 67c137ba	42f843477b5e82bd3446c9c10e1ea020a86dc7dde4d4d0234f631c050d22afd6	42f843477b5e82bd3446c9c10e1ea020a86dc7dde4d4d0234f631c050d22afd6	git blob 67c137ba	MATCH	20444
3A_handoff	analysis/stage3a_structural_core/closure/STAGE3C_HANDOFF.md	3C handoff rules	FROZEN	stage3a 67c137ba	8ad7ad17a0c8af227e41c7119cc37573a551c3c3b7fea91ad15756d6dcdafa89	8ad7ad17a0c8af227e41c7119cc37573a551c3c3b7fea91ad15756d6dcdafa89	git blob 67c137ba	MATCH	5110
3A_ss_1RTD_A	analysis/stage3a_structural_core/g2r/results/rt_ss/1RTD_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	ff193b59471057c046d288ba9bcc166678a4987b70842b8ec812fdbbea176ae2	ff193b59471057c046d288ba9bcc166678a4987b70842b8ec812fdbbea176ae2	git blob 67c137ba	MATCH	18883
3A_ss_23OR_A	analysis/stage3a_structural_core/g2r/results/rt_ss/23OR_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	c2d34ae6fb62ef8ccdfb7783d1f683fcff4f5ccb075b091f76a6b89312ca5037	c2d34ae6fb62ef8ccdfb7783d1f683fcff4f5ccb075b091f76a6b89312ca5037	git blob 67c137ba	MATCH	12374
3A_ss_24NC_A	analysis/stage3a_structural_core/g2r/results/rt_ss/24NC_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	083251ec1617607deaab8cab5165d60a4fb77132933c4e10c58c8c1d480e434e	083251ec1617607deaab8cab5165d60a4fb77132933c4e10c58c8c1d480e434e	git blob 67c137ba	MATCH	17543
3A_ss_26CZ_A	analysis/stage3a_structural_core/g2r/results/rt_ss/26CZ_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	d529ae7ad5eac367a23ec2abe073041a6a0ce6238b20a2f895eecb2c051785e5	d529ae7ad5eac367a23ec2abe073041a6a0ce6238b20a2f895eecb2c051785e5	git blob 67c137ba	MATCH	21657
3A_ss_5G2X_C	analysis/stage3a_structural_core/g2r/results/rt_ss/5G2X_C.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	a3445c2a74a6472df9bdee7d239b94cb92e7ec373e1cce01a73d0e9f5abdb302	a3445c2a74a6472df9bdee7d239b94cb92e7ec373e1cce01a73d0e9f5abdb302	git blob 67c137ba	MATCH	16329
3A_ss_5HHJ_A	analysis/stage3a_structural_core/g2r/results/rt_ss/5HHJ_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	3a611e45c44b81bbae2b03e1d364c3e0368fffaf0da6b78631a284da2700e4d4	3a611e45c44b81bbae2b03e1d364c3e0368fffaf0da6b78631a284da2700e4d4	git blob 67c137ba	MATCH	9885
3A_ss_5HHK_A	analysis/stage3a_structural_core/g2r/results/rt_ss/5HHK_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	6c6b505648446b63a86bf7193471da9ee527c55ee2e6d9e3144d7720cbcb2332	6c6b505648446b63a86bf7193471da9ee527c55ee2e6d9e3144d7720cbcb2332	git blob 67c137ba	MATCH	9857
3A_ss_5HHL_A	analysis/stage3a_structural_core/g2r/results/rt_ss/5HHL_A.ss.tsv	per-residue secondary structure (route A/B)	FROZEN	stage3a 67c137ba	acd22d387cb8de1587c3377ad9c4002e80a0abc05a60232de404809a30b662ec	acd22d387cb8de1587c3377ad9c4002e80a0abc05a60232de404809a30b662ec	git blob 67c137ba	MATCH	9797
